,Date Created,Number of Likes,Source of Tweet,Tweet,Sentiment
0,2022-11-20 23:59:21+00:00,4,Twitter Web App,"What are we drinking today @TucanTribe  @MadBears_  @lkinc_algo  @al_goanna   #WorldCup2022 https://t.co/Oga3TzvG5h",neutral
1,2022-11-20 23:59:01+00:00,3,Twitter for iPhone,"Amazing @CanadaSoccerEN  #WorldCup2022 launch video. Shows how much the face of Canada and our men's national team have changed since our last World Cup entry in 1986.  Can't wait to see these boys in action!  This is Canada: FIFA World Cup Opening Video https://t.co/7g73vvwtg8",positive
2,2022-11-20 23:58:41+00:00,1,Twitter for iPhone,Worth reading while watching #WorldCup2022 https://t.co/1SQrNa2dYU,positive
3,2022-11-20 23:58:33+00:00,1,Twitter Web App,"Golden Maknae shinning bright  https://t.co/4AyZbzGTX4 #JeonJungkook #Jungkook #전정국 #정국 #JK #GoldenMaknae #bunny #Kookie #Jungshook #BTS #방탄소년단 #WorldCup2022 #FIFAKOOK  @BTS_twt",positive
4,2022-11-20 23:58:28+00:00,0,Twitter for Android,"If the BBC cares so much about human rights, homosexual rights, and women rights then why not say these before the opening ceremony?? Why are they saying these during the opening ceremony?? Why did the BBC censor the #WorldCup2022 opening ceremony?? https://t.co/f72P03ZN2k",negative
5,2022-11-20 23:57:32+00:00,0,Twitter for Android,"And like, will the mexican fans be able to scream ""PUTO"" now? Or is that too homophobic for qatar? @FIFAWorldCup #WorldCup2022",negative
6,2022-11-20 23:57:06+00:00,0,Twitter for Android,Look like a only me and the Jamaican football team naw follow up worldcup #WorldCup2022,neutral
7,2022-11-20 23:57:05+00:00,0,Twitter for Android,"Really? Football on a Monday morning at 9 and 12 and then 3? I need to pinch myself. Is it really happening?  #WorldCup2022",neutral
8,2022-11-20 23:56:31+00:00,1,Twitter Web App,"Everything's fine.   Dressing up for the World Cup. #WorldCup2022 https://t.co/rDxmjlvNvO",neutral
9,2022-11-20 23:56:25+00:00,0,Twitter for Android,Watching #qatarworldcup2022 opening ceremony only to see BTS's Jungkook. Lol #WorldCup2022 #Qatar2022,neutral
